NM_MUNICIPIO,NR_TURNO,NR_SECAO,NM_LOCAL_VOTACAO,NR_LATITUDE,NR_LONGITUDE
RANCHARIA,1,48,EM. DR. JULIO LUCANT,-22.2271764,-50.8917237
OSVALDO CRUZ,1,84,SESI,-21.8008372,-50.8839758
PARAPUÃ,1,34,EE DE PARAPUA,-21.778316,-50.7940589
OSVALDO CRUZ,1,122,EE PROFA MARIA APARECIDA LOPES,-21.7974634,-50.8955461
RANCHARIA,1,23,EE. DOM ANTONIO JOSÉ DOS SANTOS,-22.2280026,-50.8917407
RANCHARIA,1,80,EE. PROF. MARIO FIORANTE,-22.2301281,-50.9061034
DRACENA,1,63,FACULDADE REGES,-21.5033029,-51.542601
TUPÃ,1,121,EMEF. PROF. ODINIR MAGNANI,-21.9215103,-50.5308818
TUPÃ,1,152,EE .PROF. IRENE RESINA MIGLIORUCCI,-21.9303421,-50.4944143
ADAMANTINA,1,27,EE. PROFESSOR DURVALINO GRION,-21.6785734,-51.0768388
DRACENA,1,112,FACULDADE REGES,-21.5033029,-51.542601
ADAMANTINA,1,43,EMEF. NAVARRO DE ANDRADE,-21.6891015,-51.0798656
TARUMÃ,1,123,E.M.E.F.E.I. JOSÉ RODRIGUES DOS SANTOS,-22.7457483,-50.5841683
TUPÃ,1,139,EE.  PROF. ESTHER VERIS CERPE,-21.9314332,-50.5213298
TUPÃ,1,60,EMEIEF. PROF. GINO BOLOGNESI,-21.9454086,-50.4398472
CÂNDIDO MOTA,1,19,EEPG. CLOTILDE DE CASTRO BARREIRA,-22.7473525,-50.3875546
CÂNDIDO MOTA,1,68,EMEI JOÃO E MARIA,-22.7547454,-50.3756714
RANCHARIA,1,13,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,-22.2279013,-50.8937046
PARAPUÃ,1,104,CRECHE ESCOLA PEQUENO PRÍNCIPE,-21.779962,-50.7855859
TUPÃ,1,165,EMEF. PROF. JOÃO GERALDO IORI,-21.9319082,-50.4908439
OSVALDO CRUZ,1,110,SESI,-21.8008372,-50.8839758
TUPÃ,1,10,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
PARAPUÃ,1,114,EMEF PROFESSORA ZIZI PEREIRA DE SOUZA,-21.782315,-50.7888623
TUPÃ,1,21,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
TARUMÃ,1,129,E.M.E.F.E.I. MARIA ANTONIA BENELLI,-22.7434933,-50.5728068
OSVALDO CRUZ,1,106,EE PROFA MARIA APARECIDA LOPES,-21.7974634,-50.8955461
CÂNDIDO MOTA,1,16,EE. JOSÉ DOS SANTOS ALMEIDA,-22.7489986,-50.3837065
OSVALDO CRUZ,1,58,EE DOM BOSCO,-21.7964924,-50.8799394
LUCÉLIA,1,25,EMEI ADELITA FIRPO,-1.0,-1.0
TUPÃ,1,56,EE. PROF.  ANÍSIO CARNEIRO,-21.9260699,-50.5106997
DRACENA,1,9,EE ENG ISAC PEREIRA GARCEZ,-21.4844021,-51.5313189
ADAMANTINA,1,36,EMEF. NAVARRO DE ANDRADE,-21.6891015,-51.0798656
CÂNDIDO MOTA,1,55,EM. HELENA PUPIM ALBANEZ,-22.7425495,-50.3907126
TARUMÃ,1,139,EE. VILA DO LAGO,-22.7519583,-50.5785583
TARUMÃ,1,127,E.M.E.F.E.I. MARIA ANTONIA BENELLI,-22.7434933,-50.5728068
RANCHARIA,1,71,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,-22.2279013,-50.8937046
TUPÃ,1,74,EE. JOAQUIM ABARCA,-21.9249798,-50.5229554
TUPÃ,1,6,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
DRACENA,1,4,EMEFI JOAO VENDRAMINI,-21.4832305,-51.5344182
DRACENA,1,99,E.E ALFREDO MACHADO,-21.4906607,-51.5537528
DRACENA,1,19,FADRA,-21.4863311,-51.5280478
CÂNDIDO MOTA,1,51,EEPG. PROFA. OLGA BREVE ALVES,-22.7554255,-50.3717527
DRACENA,1,100,EE 9 DE JULHO,-21.4897513,-51.5253035
ADAMANTINA,1,4,FACULDADES  ADAMANTINENSES INTEGRADAS - CAMPUS I,-21.6856842,-51.0798299
DRACENA,1,66,ESCOLA TÉCNICA CEP/UME,-21.4858446,-51.5317264
DRACENA,1,105,EE 9 DE JULHO,-21.4897513,-51.5253035
ADAMANTINA,1,16,EE. PROFESSORA FLEURIDES CAVALLINI MENECHINO,-21.6930535,-51.0701944
RANCHARIA,1,47,EE. JOÃO PEREZ SANTOS,-22.5322111,-50.9114426
OSVALDO CRUZ,1,97,COLÉGIO APOLO,-21.7991197,-50.8734154
ADAMANTINA,1,115,EE. HELEN KELLER,-21.6924798,-51.069082
TUPÃ,1,48,EE. PROF. SEBASTIÃO TEIXEIRA PINTO,-21.9384359,-50.5053357
CÂNDIDO MOTA,1,64,EM. HELENA PUPIM ALBANEZ,-22.7425495,-50.3907126
TUPÃ,1,9,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
OSVALDO CRUZ,1,79,EMEFI DOUTOR GETULIO VARGAS,-21.7999407,-50.8724599
DRACENA,1,61,ESCOLA TÉCNICA CEP/UME,-21.4858446,-51.5317264
TUPÃ,1,97,EMEIEF. PROF. GINO BOLOGNESI,-21.9454086,-50.4398472
TUPÃ,1,129,EE. MAESTRO NELSON DE CASTRO,-21.9428371,-50.5225869
TUPÃ,1,42,EE. PROF. SEBASTIÃO TEIXEIRA PINTO,-21.9384359,-50.5053357
ADAMANTINA,1,41,EMEF. NAVARRO DE ANDRADE,-21.6891015,-51.0798656
OSVALDO CRUZ,1,14,ETEC AMIM JUNDI,-21.7914906,-50.8765847
OSVALDO CRUZ,1,117,COLÉGIO APOLO,-21.7991197,-50.8734154
CÂNDIDO MOTA,1,29,EEPG.SANTO HINO,-22.902427,-50.4236355
TUPÃ,1,156,EE .PROF. IRENE RESINA MIGLIORUCCI,-21.9303421,-50.4944143
RANCHARIA,1,25,EE. DOM ANTONIO JOSÉ DOS SANTOS,-22.2280026,-50.8917407
DRACENA,1,26,EE 9 DE JULHO,-21.4897513,-51.5253035
DRACENA,1,24,EE 9 DE JULHO,-21.4897513,-51.5253035
TUPÃ,1,16,EE. DR. LÉLIO TOLEDO  PIZA E ALMEIDA,-21.9385669,-50.5163101
TUPÃ,1,37,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
ADAMANTINA,1,12,EE. PROFESSORA FLEURIDES CAVALLINI MENECHINO,-21.6930535,-51.0701944
RANCHARIA,1,17,EM. DR. JULIO LUCANT,-22.2271764,-50.8917237
RANCHARIA,1,39,EE. JOSÉ GIORGI,-22.2272722,-50.8834943
RANCHARIA,1,28,EE. DR. BENEDITO MARTINS BARBOSA,-22.2263605,-50.8905838
DRACENA,1,90,E.E ALFREDO MACHADO,-21.4906607,-51.5537528
TUPÃ,1,30,EE. PROF. HELENA PAVANELLI PORTO,-21.9387273,-50.5131266
CÂNDIDO MOTA,1,6,EEPSG. RACHID JABUR,-22.7407859,-50.391589
LUCÉLIA,1,23,EMEF.  PROFA SOLEDADE DOMINGUES IGLESIA,-1.0,-1.0
RANCHARIA,1,41,EMEFEI. CARLOS BUENO DE TOLEDO,-22.6262523,-50.9066885
LUCÉLIA,1,79,EMEF PROF CARLOS BUENO,-1.0,-1.0
OSVALDO CRUZ,1,5,ETEC AMIM JUNDI,-21.7914906,-50.8765847
OSVALDO CRUZ,1,87,SESI,-21.8008372,-50.8839758
TARUMÃ,1,136,E.M.E.F.E.I. JOSÉ OSÓRIO DE OLIVEIRA,-22.7481421,-50.5776579
DRACENA,1,23,FADRA,-21.4863311,-51.5280478
CÂNDIDO MOTA,1,17,EEPG. CLOTILDE DE CASTRO BARREIRA,-22.7473525,-50.3875546
OSVALDO CRUZ,1,91,EMEFI DOUTOR GETULIO VARGAS,-21.7999407,-50.8724599
TUPÃ,1,44,EE. PROF. SEBASTIÃO TEIXEIRA PINTO,-21.9384359,-50.5053357
OSVALDO CRUZ,1,1,ETEC AMIM JUNDI,-21.7914906,-50.8765847
ADAMANTINA,1,109,EE. PROFESSORA FLEURIDES CAVALLINI MENECHINO,-21.6930535,-51.0701944
ADAMANTINA,1,108,EMEF. PROFESSOR EURICO LEITE DE MORAES,-21.6593842,-51.0850649
TUPÃ,1,13,EE. DR. LÉLIO TOLEDO  PIZA E ALMEIDA,-21.9385669,-50.5163101
CÂNDIDO MOTA,1,35,EE. JOSÉ DOS SANTOS ALMEIDA,-22.7489986,-50.3837065
TUPÃ,1,184,EE. MAESTRO NELSON DE CASTRO,-21.9428371,-50.5225869
CÂNDIDO MOTA,1,63,EE. DR. JOSÉ AUGUSTO DE CARVALHO,-22.7505989,-50.3863
DRACENA,1,62,EMEFI PROFA LUIZA ROSSA RIBEIRO,-21.4872018,-51.5460907
TUPÃ,1,134,EE. PROF.  ANÍSIO CARNEIRO,-21.9260699,-50.5106997
ADAMANTINA,1,117,EMEF. PROFESSOR EURICO LEITE DE MORAES,-21.6593842,-51.0850649
DRACENA,1,36,EMEFI PROFA LUIZA ROSSA RIBEIRO,-21.4872018,-51.5460907
TUPÃ,1,102,EE. MAESTRO NELSON DE CASTRO,-21.9428371,-50.5225869
TUPÃ,1,39,EE. PROF. SEBASTIÃO TEIXEIRA PINTO,-21.9384359,-50.5053357
ADAMANTINA,1,32,EMEF. PROFESSORA TERUYO KIKUTA,-21.683468,-51.0678073
PARAPUÃ,1,59,EMEF PROFESSORA ZIZI PEREIRA DE SOUZA,-21.782315,-50.7888623
OSVALDO CRUZ,1,4,ETEC AMIM JUNDI,-21.7914906,-50.8765847
CÂNDIDO MOTA,1,22,EEPG. CLOTILDE DE CASTRO BARREIRA,-22.7473525,-50.3875546
DRACENA,1,60,ESCOLA TÉCNICA CEP/UME,-21.4858446,-51.5317264
DRACENA,1,67,EMEFI PROFA LUIZA ROSSA RIBEIRO,-21.4872018,-51.5460907
DRACENA,1,95,EE ENG ISAC PEREIRA GARCEZ,-21.4844021,-51.5313189
PARAPUÃ,1,32,EE DE PARAPUA,-21.778316,-50.7940589
RANCHARIA,1,60,EE. PROF. MARIO FIORANTE,-22.2301281,-50.9061034
TUPÃ,1,151,EE .PROF. IRENE RESINA MIGLIORUCCI,-21.9303421,-50.4944143
RANCHARIA,1,18,EM. DR. JULIO LUCANT,-22.2271764,-50.8917237
OSVALDO CRUZ,1,64,ETEC AMIM JUNDI,-21.7914906,-50.8765847
DRACENA,1,35,EE PROFA JULIETA GUEDES DE MENDONCA,-21.4935667,-51.5381708
TARUMÃ,1,135,E.M.E.F.E.I. JOSÉ OSÓRIO DE OLIVEIRA,-22.7481421,-50.5776579
OSVALDO CRUZ,1,103,EE PROFA MARIA APARECIDA LOPES,-21.7974634,-50.8955461
LUCÉLIA,1,27,EMEF ARGEMIRO DE ALMEIDA GONZAGA,-1.0,-1.0
TUPÃ,1,90,EE. LUIZ DE SOUZA LEÃO,-21.932653,-50.5022959
TARUMÃ,1,126,E.M.E.F.E.I. MARIA ANTONIA BENELLI,-22.7434933,-50.5728068
OSVALDO CRUZ,1,128,EE PROFA MARIA APARECIDA LOPES,-21.7974634,-50.8955461
LUCÉLIA,1,56,EMEF PROFA MARIA DO CARMO DE MENEZES MENDONCA,-1.0,-1.0
TARUMÃ,1,122,E.M.E.F.E.I. JOSÉ RODRIGUES DOS SANTOS,-22.7457483,-50.5841683
LUCÉLIA,1,52,EMEF PROF CARLOS BUENO,-1.0,-1.0
ADAMANTINA,1,5,FACULDADES  ADAMANTINENSES INTEGRADAS - CAMPUS I,-21.6856842,-51.0798299
RANCHARIA,1,32,EE. DR. BENEDITO MARTINS BARBOSA,-22.2263605,-50.8905838
ADAMANTINA,1,23,EE. HELEN KELLER,-21.6924798,-51.069082
CÂNDIDO MOTA,1,58,EE. DR. JOSÉ AUGUSTO DE CARVALHO,-22.7505989,-50.3863
CÂNDIDO MOTA,1,66,EEPG. CLOTILDE DE CASTRO BARREIRA,-22.7473525,-50.3875546
OSVALDO CRUZ,1,72,EE DOM BOSCO,-21.7964924,-50.8799394
OSVALDO CRUZ,1,3,ETEC AMIM JUNDI,-21.7914906,-50.8765847
RANCHARIA,1,96,EE. PROF. MARIO FIORANTE,-22.2301281,-50.9061034
RANCHARIA,1,38,EE. JOSÉ GIORGI,-22.2272722,-50.8834943
RANCHARIA,1,78,EE. PROF. MARIO FIORANTE,-22.2301281,-50.9061034
LUCÉLIA,1,80,EMEF PROF CARLOS BUENO,-1.0,-1.0
TARUMÃ,1,124,E.M.E.F.E.I. JOSÉ RODRIGUES DOS SANTOS,-22.7457483,-50.5841683
LUCÉLIA,1,44,EMEF PROF CARLOS BUENO,-1.0,-1.0
TUPÃ,1,46,EE. PROF. SEBASTIÃO TEIXEIRA PINTO,-21.9384359,-50.5053357
PARAPUÃ,1,123,EMEF PROFESSORA ZIZI PEREIRA DE SOUZA,-21.782315,-50.7888623
CÂNDIDO MOTA,1,42,EEPG. PROFA. OLGA BREVE ALVES,-22.7554255,-50.3717527
OSVALDO CRUZ,1,124,EE DOM BOSCO,-21.7964924,-50.8799394
OSVALDO CRUZ,1,78,SESI,-21.8008372,-50.8839758
ADAMANTINA,1,112,FACULDADES  ADAMANTINENSES INTEGRADAS - CAMPUS I,-21.6856842,-51.0798299
CÂNDIDO MOTA,1,36,EE. JOSÉ DOS SANTOS ALMEIDA,-22.7489986,-50.3837065
RANCHARIA,1,43,EE. JOSÉ GIORGI,-22.2272722,-50.8834943
RANCHARIA,1,54,EE. DOM ANTONIO JOSÉ DOS SANTOS,-22.2280026,-50.8917407
TUPÃ,1,20,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
TUPÃ,1,8,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
TUPÃ,1,49,EE. PROF. SEBASTIÃO TEIXEIRA PINTO,-21.9384359,-50.5053357
DRACENA,1,58,FACULDADE REGES,-21.5033029,-51.542601
DRACENA,1,25,EE 9 DE JULHO,-21.4897513,-51.5253035
LUCÉLIA,1,58,EMEI ADELITA FIRPO,-1.0,-1.0
TUPÃ,1,95,ETE. PROF.  MASSUYUKI KAWANO,-21.9388465,-50.5267171
DRACENA,1,101,FACULDADE REGES,-21.5033029,-51.542601
TUPÃ,1,106,EE. LUIZ DE SOUZA LEÃO,-21.932653,-50.5022959
CÂNDIDO MOTA,1,46,EE. DR. JOSÉ AUGUSTO DE CARVALHO,-22.7505989,-50.3863
ADAMANTINA,1,2,FACULDADES  ADAMANTINENSES INTEGRADAS - CAMPUS I,-21.6856842,-51.0798299
DRACENA,1,80,FADRA,-21.4863311,-51.5280478
LUCÉLIA,1,20,EMEF PROFA MARIA DO CARMO DE MENEZES MENDONCA,-1.0,-1.0
ADAMANTINA,1,37,EMEF. NAVARRO DE ANDRADE,-21.6891015,-51.0798656
RANCHARIA,1,94,E.M LÁZARA NOGUEIRA SEVERO LINS,-22.2279879,-50.9126736
ADAMANTINA,1,30,EMEF. PROFESSORA TERUYO KIKUTA,-21.683468,-51.0678073
